id_jugador;nombre;orden;equipo;pais_iso_3
68;Franco Nestor Calero;9;Kissamikos;GRC
68;Franco Nestor Calero;10;Al Ansar;LBN
68;Franco Nestor Calero;11;Hapoel Ironi Kiryat Shmona;ISR
68;Franco Nestor Calero;12;Rio Blanco;BRA
68;Franco Nestor Calero;13;Rangers;CHL
68;Franco Nestor Calero;14;Aucas;ECU
68;Franco Nestor Calero;15;Kabuscorp;AGO
69;Emiliano Tade;0;Lower Hutt;NZL
69;Emiliano Tade;1;Wellington United;NZL
69;Emiliano Tade;2;Team Wellington;NZL
69;Emiliano Tade;3;Auckland City;NZL
69;Emiliano Tade;4;Mitre de Santiago del Estero;ARG
69;Emiliano Tade;5;Auckland City;NZL
69;Emiliano Tade;6;Central United;NZL
69;Emiliano Tade;7;Auclkand City;NZL
69;Emiliano Tade;8;Ama Zulu;ZAF
70;Nelson Chaparro Agüero;0;Argentino de Quilmes;ARG
70;Nelson Chaparro Agüero;1;Fernando de la Mora;PRY
70;Nelson Chaparro Agüero;2;Nacional de Potosi;BOL
70;Nelson Chaparro Agüero;3;Huachacalla;BOL
70;Nelson Chaparro Agüero;4;Sport Boys Warnes;BOL
70;Nelson Chaparro Agüero;5;Argentino de Quilmes;ARG
70;Nelson Chaparro Agüero;6;Persid Jember;IND
70;Nelson Chaparro Agüero;7;Perseta FC;IND
70;Nelson Chaparro Agüero;8;Persewangi;IND
70;Nelson Chaparro Agüero;9;Persijap Jepara;IND
70;Nelson Chaparro Agüero;10;Persewangi;IND
70;Nelson Chaparro Agüero;11;Lanexan United;LAO
70;Nelson Chaparro Agüero;12;Atletico Comalpa;SLV
70;Nelson Chaparro Agüero;13;Belmopan Bandits;BLZ
70;Nelson Chaparro Agüero;14;Delfines del Este;DOM
70;Nelson Chaparro Agüero;15;Sandals INET Grenades FC;ATG
71;Pablo Mendizabal;0;Union de Santa Fe;ARG
71;Pablo Mendizabal;1;Cosmos de Santa Fe;ARG
