id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
60;AFC;QATAR;QAT;1;Stars League;Al Rayyan;Jonathan Diego Menendez;Ciudad de Buenos Aires ;03/05/1994;DEL;['Chacarita (ARG)', 'Sevilla C (ESP)', 'Chacarita (ARG)', 'Talleres de Cordoba (ARG)', 'Independiente (ARG)', 'Al Rayyan (QAT)']
61;AFC;QATAR;QAT;1;Stars League;Al Shahaniya;Claudio Luciano Vázquez;Ciudad de Buenos Aires ;03/06/1985;DEL;['Independiente (ARG)', 'Huracán (ARG)', 'Tembetary (PRY)', 'La Plata FC (ARG)', 'Huracán de Tres Arroyos (ARG)', 'Rivadavia de Lincoln. (ARG)', 'Alumni de Villa María (ARG)', 'Central Córdoba de Santiago del Estero (ARG)', 'Villa Mitre (ARG)', 'Cipolletti (ARG)', 'Racing de Olavarria (ARG)', 'Flandria (ARG)', 'Ñublense (CHL)', 'Al Shahaniya (QAT)', 'Huacipato (CHL)', 'Termperley (ARG)', 'Al Shahaniya (QAT)']
62;AFC;QATAR;QAT;2;Second Division;Al Wakrah;Ulises Jesus Pascua;Chivilcoy, Buenos Aires ;12/05/1989;VOL;['Social Moquehua (ARG)', 'Al Shahaniya (QAT)', 'Al Rayyan (QAT)', 'Al Shahaniya (QAT)', 'Al Wakrah (QAT)']
63;AFC;TAILANDIA;THA;3;League 3;Rajpracha;Lucas Daniel Echenique;Vicente Lopez, Buenos Aires ;18/10/1983;ARQ;['Arsenal (ARG)', 'Comunicaciones (ARG)', 'Sriracha (THA)', 'Army United (THA)', 'Samut Songkram (THA)', 'Sisaket (THA)', 'TTM Chiangmai (THA)', 'Look Phor Khun (THA)', 'Kabinburi (THA)', 'Liga 25 de Mayo (ARG)', 'MOF Custom United (THA)', 'Rajpracha (THA)']
64;AFC;TIMOR LESTE;TLS;1;Liga Futebol Amadora Primeira Divisao;AS Ponte Leste ;Mario Alejandro Costas;Ciudad Santiago del Estero, Argentina ;24/04/1981;DEL;['Ferro (ARG)', 'Sportivo Italiano (ARG)', 'Estudiantes de Buenos Aires (ARG)', 'Deportivo Moron (ARG)', 'Independiente Rivadavia (ARG)', 'Temperley (ARG)', 'Deportivo Merlo (ARG)', 'Luis Angel Firpo (SLV)', 'America de Cali (COL)', 'Alvarado (ARG)', 'PSMS Medan (IND)', 'Gimnasia de Concepcion del Uruguay (ARG)', 'Pro Duta (IND)', 'Persela Lamognan (IND)', 'Mitre de Santiago del Estero (ARG)', 'Persela Lamognan (IND)', 'Persija Jakarta (IND)', 'PSM Makasar (IND)', ' (ARG)', 'AS Ponte Leste  (TLS)']
65;AFC;TIMOR LESTE;TLS;2;Liga Futebol Amadora Segunda Divisao;Assalam;Nicolas Ezequiel Altamira;Rio Segundo, Cordoba ;31/12/1992;;['Juventud Catolica de Rio Segundo (ARG)', 'Assalam (TLS)']
66;AFC;TIMOR LESTE;TLS;2;Liga Futebol Amadora Segunda Divisao;Assalam;Ramiro Nelson Maggi;Rio Segundo, Cordoba ;;;['Juventud Catolica de Rio Segundo (ARG)', 'Assalam (TLS)']
67;AFC;VIETNAM;VNM;1;V.League 1;Da Nang;Sebastian Gaston Merlo;Jovita, Cordoba ;14/05/1982;DEL;['Talleres de Cordoba (ARG)', 'Deportivo Moto Kart (ARG)', 'Ferro de Intendente Alvear (ARG)', 'Da Nang (VNM)', 'Ferro de General Pico (ARG)', 'Da Nang (VNM)']
68;CAF;ANGOLA;AGO;1;Girabola;Kabuscorp;Franco Nestor Calero;Rosario, Santa Fe ;03/09/1989;DEL;['Newell´s (ARG)', 'Durango (URY)', 'Argentino de Rosario (ARG)', 'Estudiantes de Rio IV (ARG)', 'Sariñena (ESP)', 'Robres (ESP)', 'Alfonso Ugarte (PER)', 'Comercial (BRA)', 'ADIUR (ARG)', 'Kissamikos (GRC)', 'Al Ansar (LBN)', 'Hapoel Ironi Kiryat Shmona (ISR)', 'Rio Blanco (BRA)', 'Rangers (CHL)', 'Aucas (ECU)', 'Kabuscorp (AGO)']
69;CAF;SUDAFRICA;ZAF;1;Premiership;Ama Zulu;Emiliano Tade;Ciudad de Santiago del Estero ;03/03/1988;DEL;['Lower Hutt (NZL)', 'Wellington United (NZL)', 'Team Wellington (NZL)', 'Auckland City (NZL)', 'Mitre de Santiago del Estero (ARG)', 'Auckland City (NZL)', 'Central United (NZL)', 'Auclkand City (NZL)', 'Ama Zulu (ZAF)']
